Date,Price,Open,High,Low,Vol.,Change %,log_return
2018-08-29,8109.69,8044.34,8113.56,8042.1,428410000.0,0.99,0.0098701337161333
2018-08-30,8088.36,8094.2,8133.3,8069.57,441390000.0,-0.26,-0.0026336518690775836
2018-08-31,8109.54,8079.31,8119.82,8079.31,487910000.0,0.26,0.002615155306663075
2018-09-04,8091.25,8087.95,8104.07,8042.14,516559999.99999994,-0.23,-0.00225791554244935
2018-09-05,7995.17,8073.53,8077.84,7962.35,608420000.0,-1.19,-0.011945621528169883
2018-09-06,7922.73,7998.27,8001.97,7885.49,539130000.0,-0.91,-0.009101765947733733
2018-09-07,7902.54,7878.79,7962.53,7873.93,498040000.0,-0.25,-0.0025516166175149624
2018-09-10,7924.16,7939.57,7945.03,7890.39,477690000.0,0.27,0.002732093670600136
2018-09-11,7972.47,7894.87,7986.32,7880.93,500450000.0,0.61,0.006078036505141987
2018-09-12,7954.23,7958.87,7965.39,7884.05,536240000.0,-0.23,-0.002290494323930735
2018-09-13,8013.71,7999.93,8037.51,7989.85,522070000.00000006,0.75,0.007449962249901863
2018-09-14,8010.04,8026.16,8040.83,7979.78,487340000.0,-0.05,-0.00045807006027587135
2018-09-17,7895.79,7992.21,8002.78,7890.07,565450000.0,-1.43,-0.014366048792775355
2018-09-18,7956.11,7903.57,7986.1,7901.01,521299999.99999994,0.76,0.007610480906558255
2018-09-19,7950.04,7962.55,7976.12,7917.73,494990000.0,-0.08,-0.0007632268392609395
2018-09-20,8028.23,7993.53,8039.06,7986.4,534960000.00000006,0.98,0.009787120149531458
2018-09-21,7986.95,8041.69,8057.26,7979.67,1610000000.0,-0.51,-0.005155120506779063
2018-09-24,7993.25,7939.38,7997.9,7912.47,584170000.0,0.08,0.00078847577957601
2018-09-25,8007.47,8001.59,8014.12,7979.29,541530000.0,0.18,0.0017774204840381423
2018-09-26,7990.37,8011.68,8067.03,7982.77,522530000.0,-0.21,-0.0021377894156278756
2018-09-27,8041.97,8021.22,8071.56,8017.91,484630000.0,0.65,0.0064370114619423735
2018-09-28,8046.35,8024.5,8065.06,8015.86,603130000.0,0.05,0.0005444944044141836
2018-10-01,8037.3,8091.5,8107.38,8019.77,543430000.0,-0.11,-0.0011253665623306586
2018-10-02,7999.55,8024.48,8054.15,7983.99,559020000.0,-0.47,-0.004707915797143056
2018-10-03,8025.09,8034.65,8053.93,8012.03,693990000.0,0.32,0.0031875938087181717
2018-10-04,7879.51,7993.33,7997.17,7833.16,764990000.0,-1.81,-0.018307164711219296
2018-10-05,7788.45,7874.76,7902.67,7715.97,624600000.0,-1.16,-0.011623852152711346
2018-10-08,7735.95,7747.1,7797.32,7654.84,551100000.0,-0.67,-0.006763572200948102
2018-10-09,7738.02,7728.51,7799.75,7718.95,562090000.0,0.03,0.0002675460805918901
2018-10-10,7422.05,7694.08,7701.2,7420.56,758010000.0,-4.08,-0.04169054157781795
2018-10-11,7329.06,7388.07,7493.21,7274.04,760280000.0,-1.25,-0.012608031778405035
2018-10-12,7496.89,7507.84,7516.69,7368.33,655730000.0,2.29,0.022641000311647577
2018-10-15,7430.74,7473.33,7500.93,7400.07,515720000.0,-0.88,-0.008862817875815075
