Date,Price,Open,High,Low,Vol.,Change %,log_return
2021-04-19,14359.45,"14,306.60","14,382.30","14,191.40",503.14M,-1.77%,-0.017835122632966233
2021-04-20,14296.4,"14,526.70","14,526.95","14,207.30",456.70M,-0.44%,-0.004400504730724992
2021-04-22,14406.15,"14,219.15","14,424.75","14,151.40",516.99M,0.77%,0.007647441420956932
2021-04-23,14341.35,"14,326.35","14,461.15","14,273.30",476.61M,-0.45%,-0.004508225741375628
2021-04-26,14485.0,"14,449.45","14,557.50","14,421.30",448.53M,1.00%,0.009966658221529558
2021-04-27,14653.05,"14,493.80","14,667.55","14,484.85",442.21M,1.16%,0.011534873699277236
2021-04-28,14864.55,"14,710.50","14,890.25","14,694.95",453.99M,1.44%,0.014330678619181423
2021-04-29,14894.9,"14,979.00","15,044.35","14,814.45",511.47M,0.20%,0.002039688940633703
2021-04-30,14631.1,"14,747.35","14,855.45","14,601.70",594.74M,-1.77%,-0.017869472304921995
2021-05-03,14634.15,"14,481.05","14,673.85","14,416.25",443.41M,0.02%,0.00020843833632333135
2021-05-04,14496.5,"14,687.25","14,723.40","14,461.50",479.66M,-0.94%,-0.009450597532297881
2021-05-05,14617.85,"14,604.15","14,637.90","14,506.60",437.26M,0.84%,0.00833614370438461
2021-05-06,14724.8,"14,668.35","14,743.90","14,611.50",445.28M,0.73%,0.00728976241856127
2021-05-07,14823.15,"14,816.85","14,863.05","14,765.50",483.68M,0.67%,0.00665700078709295
2021-05-10,14942.35,"14,928.25","14,966.90","14,892.50",510.60M,0.80%,0.008009315295494882
2021-05-11,14850.75,"14,789.70","14,900.00","14,771.40",616.20M,-0.61%,-0.006149094161166533
2021-05-12,14696.5,"14,823.55","14,824.05","14,649.70",620.32M,-1.04%,-0.0104409988264523
2021-05-14,14677.8,"14,749.40","14,749.65","14,591.90",602.74M,-0.13%,-0.0012732220019680827
2021-05-17,14923.15,"14,756.25","14,938.00","14,725.35",534.52M,1.67%,0.016577550301561973
2021-05-18,15108.1,"15,067.20","15,137.25","15,043.70",571.92M,1.24%,0.012317325341082912
2021-05-19,15030.15,"15,058.60","15,133.40","15,008.85",563.29M,-0.52%,-0.005172840083098081
2021-05-20,14906.05,"15,042.60","15,069.80","14,884.90",467.46M,-0.83%,-0.00829101294717533
2021-05-21,15175.3,"14,987.80","15,190.00","14,985.85",557.73M,1.81%,0.017901935299818986
2021-05-24,15197.7,"15,211.35","15,256.25","15,145.45",566.72M,0.15%,0.0014749945057214828
2021-05-25,15208.45,"15,291.75","15,293.85","15,163.40",417.32M,0.07%,0.0007070938246309187
2021-05-26,15301.45,"15,257.05","15,319.90","15,194.95",377.68M,0.61%,0.006096400711710557
2021-05-27,15337.85,"15,323.95","15,384.55","15,272.50",682.37M,0.24%,0.0023760345128514245
2021-05-28,15435.65,"15,421.20","15,469.65","15,394.75",455.58M,0.64%,0.006356139487801307
2021-05-31,15582.8,"15,437.75","15,606.35","15,374.00",436.00M,0.95%,0.00948797273161881
2021-06-01,15574.85,"15,629.65","15,660.75","15,528.30",409.56M,-0.05%,-0.0005103080734601435
